ItemID,ClusterID
1,6
2,6
3,7
4,6
5,7
6,7
7,7
8,6
9,6
10,6
11,6
12,6
13,6
14,6
15,6
16,6
17,6
18,7
19,6
20,6
21,7
22,6
23,7
24,7
25,7
26,6
27,7
28,7
29,7
30,7
31,7
32,7
33,6
34,6
35,6
36,7
37,7
38,6
39,7
40,7
41,7
42,6
43,6
44,7
45,6
46,7
47,6
48,7
49,6
50,7
51,7
52,7
53,7
54,7
55,6
56,7
57,6
58,6
59,6
60,7
61,7
62,7
63,6
64,7
65,6
66,6
67,7
68,6
69,7
70,6
71,7
72,7
73,6
74,6
75,7
76,6
77,7
78,6
79,6
80,6
81,7
82,3
83,6
84,6
85,6
86,6
87,6
88,6
89,6
90,7
91,6
92,7
93,6
94,6
95,6
96,6
97,6
98,7
99,6
100,6
101,7
102,6
103,6
104,6
105,7
106,7
107,7
108,6
109,6
110,6
111,7
112,6
113,6
114,6
115,6
116,6
117,6
118,6
119,7
120,3
121,6
122,6
123,7
124,7
125,7
126,6
127,7
128,6
129,7
130,7
131,7
132,6
133,3
134,6
135,7
136,6
137,6
138,6
139,6
140,6
141,7
142,6
143,7
144,7
145,7
146,3
147,7
148,6
149,7
150,7
151,7
152,6
153,6
154,7
155,3
156,7
157,6
158,7
159,3
160,7
161,7
162,6
163,3
164,6
165,7
166,6
167,6
168,7
169,7
170,6
171,7
172,7
173,6
174,6
175,6
176,3
177,7
178,7
179,7
180,6
181,6
182,6
183,6
184,3
185,7
186,6
187,7
188,6
189,6
190,7
191,7
192,6
193,6
194,6
195,6
196,7
197,6
198,7
199,6
200,7
201,6
202,6
203,6
204,7
205,6
206,6
207,3
208,3
209,6
210,7
211,6
212,7
213,6
214,7
215,3
216,7
217,6
218,6
219,6
220,7
221,6
222,7
223,6
224,6
225,7
226,6
227,3
228,7
229,7
230,7
231,6
232,6
233,3
234,3
235,6
236,6
237,3
238,3
239,7
240,7
241,6
242,6
243,7
244,6
245,6
246,6
247,3
248,6
249,6
250,6
251,7
252,6
253,6
254,6
255,6
256,6
257,6
258,6
259,6
260,3
261,6
262,6
263,6
264,6
265,3
266,6
267,3
268,6
269,6
270,7
271,7
272,6
273,7
274,3
275,6
276,6
277,6
278,7
279,6
280,6
281,6
282,6
283,6
284,6
285,7
286,7
287,6
288,6
289,6
290,7
291,6
292,6
293,7
294,3
295,2
296,6
297,6
298,3
299,6
300,6
301,7
302,6
303,3
304,7
305,6
306,7
307,6
308,6
309,7
310,7
311,6
312,6
313,6
314,6
315,6
316,6
317,6
318,6
319,3
320,3
321,6
322,6
323,6
324,6
325,6
326,6
327,6
328,6
329,6
330,6
331,3
332,6
333,6
334,6
335,7
336,6
337,6
338,7
339,6
340,6
341,6
342,6
343,6
344,6
345,3
346,6
347,3
348,6
349,6
350,6
351,6
352,6
353,3
354,6
355,6
356,6
357,6
358,6
359,6
360,6
361,3
362,6
363,6
364,6
365,6
366,3
367,6
368,6
369,6
370,6
371,6
372,6
373,6
374,3
375,6
376,6
377,6
378,6
379,6
380,6
381,6
382,3
383,7
384,6
385,6
386,6
387,6
388,6
389,6
390,3
391,6
392,6
393,3
394,7
395,6
396,6
397,6
398,6
399,6
400,6
401,7
402,6
403,6
404,6
405,7
406,6
407,6
408,6
409,6
410,6
411,6
412,6
413,6
414,6
415,3
416,3
417,6
418,6
419,6
420,6
421,6
422,6
423,3
424,6
425,6
426,6
427,6
428,7
429,6
430,6
431,6
432,6
433,6
434,6
435,6
436,6
437,6
438,6
439,7
440,3
441,6
442,6
443,6
444,7
445,3
446,6
447,7
448,6
449,6
450,6
451,6
452,6
453,6
454,6
455,6
456,6
457,3
458,3
459,6
460,6
461,7
462,6
463,3
464,6
465,3
466,6
467,6
468,6
469,6
470,6
471,6
472,6
473,6
474,6
475,6
476,6
477,6
478,6
479,3
480,3
481,6
482,6
483,7
484,7
485,7
486,3
487,7
488,6
489,6
490,6
491,6
492,6
493,6
494,7
495,7
496,6
497,6
498,7
499,7
500,6
501,3
502,6
503,6
504,6
505,6
506,6
507,6
508,6
509,6
510,6
511,7
512,6
513,6
514,3
515,3
516,6
517,3
518,6
519,6
520,6
521,6
522,6
523,6
